Player,Team,RAPM_offense,RAPM_defense,USG_percent,PLUS_MINUS_value,Attendance,Performance
Cole Anthony,MIL,-1.2,-0.2,0.238,-16.0,81.71,14.91044776119403
Caleb Houstan,ATL,-0.7,0.3,0.115,-66.0,70.73,6.275862068965517
Max Christie,DAL,-0.5,0.5,0.15,-83.0,95.12,14.871794871794872
Craig Porter Jr.,CLE,-0.1,0.9,0.155,-45.0,62.2,6.2745098039215685
Colby Jones,DET,-0.7,0.3,0.138,-112.0,47.56,7.794871794871795
Adam Flagler,OKC,-1.5,-0.5,0.207,7.0,45.12,3.0
Mason Jones,SAC,-0.9,0.1,0.193,1.0,12.2,4.3
Isaiah Wong,CHA,-1.6,-0.6,0.22,-6.0,24.39,8.65
Matas Buzelis,CHI,-1.1,-0.1,0.181,-35.0,97.56,13.4375
Liam Robbins,MIL,-1.3,-0.3,0.128,-5.0,15.85,1.6153846153846154
Micah Peavy,NOP,-1.0,-0.0,,,,
Jase Richardson,ORL,-0.5,0.5,,,,
Christian Wood,LAL,-1.4,-0.3,,,,
Rasheer Fleming,PHX,-1.2,-0.1,,,,
MarJon Beauchamp,NYK,-1.3,-0.2,0.222,9.0,42.68,3.5428571428571427
Tim Hardaway Jr.,DEN,0.2,1.3,0.151,25.0,93.9,14.896103896103897
Josh Green,CHA,-0.7,0.4,0.115,-364.0,82.93,11.838235294117647
Matt Ryan,NYK,-1.7,-0.6,0.208,-40.0,23.17,2.0
Keldon Johnson,SAS,-0.5,0.6,0.207,-217.0,93.9,19.07792207792208
Jaxson Hayes,LAL,-1.3,-0.2,0.12,87.0,68.29,13.375
Anthony Black,ORL,-1.3,-0.2,0.19,-40.0,95.12,15.397435897435898
Chuma Okeke,CLE,-0.7,0.4,0.093,-28.0,10.98,13.444444444444445
Mac McClung,IND,-0.7,0.4,0.087,-2.0,2.44,2.0
Miles Norris,BOS,-1.0,0.1,0.127,-14.0,3.66,6.333333333333333
Khaman Maluach,PHX,-1.0,0.1,,,,
Nique Clifford,SAC,-0.8,0.3,,,,
Alijah Martin,TOR,-0.8,0.3,,,,
Alec Burks,MIA,-0.7,0.5,0.16,110.0,59.76,11.040816326530612
Justin Minaya,POR,-1.3,-0.1,0.107,-12.0,23.17,1.9473684210526316
Trayce Jackson-Davis,GSW,-0.7,0.5,0.164,-61.0,75.61,13.516129032258064
TyTy Washington Jr.,LAC,-0.9,0.3,0.187,2.0,19.51,4.0
Ricky Council IV,PHI,-0.2,1.0,0.196,-159.0,89.02,11.452054794520548
Pat Spencer,GSW,-1.4,-0.2,0.204,-17.0,47.56,4.897435897435898
